# Gene Family	demo_Abundance-RPKs
UniRef90_A0A174LA24	48.2468539300
UniRef90_A0A174LA24|unclassified	48.2468539300
UniRef90_Q8A137	48.2120738052
UniRef90_Q8A137|unclassified	48.2120738052
UniRef90_I8YA29	48.1988264382
UniRef90_I8YA29|unclassified	48.1988264382
UniRef90_A0A174S3R2	48.1754576424
UniRef90_A0A174S3R2|unclassified	48.1754576424
UniRef90_R6JCQ1	48.1268625027
UniRef90_R6JCQ1|unclassified	48.1268625027
UniRef90_A7LXS8	47.9520131445
UniRef90_A7LXS8|unclassified	47.9520131445
UniRef90_A0A174EVF0	47.8923900384
UniRef90_A0A174EVF0|unclassified	47.8923900384
UniRef90_R5B2J6	47.7588507180
UniRef90_R5B2J6|unclassified	47.7588507180
UniRef90_R5AWW5	47.6704352460
UniRef90_R5AWW5|unclassified	47.6704352460
UniRef90_A7LXT0	47.6674550229
UniRef90_A7LXT0|unclassified	47.6674550229
UniRef90_A0A015Y6C2	47.4758349745
UniRef90_A0A015Y6C2|unclassified	47.4758349745
UniRef90_A0A0K6BQY7	47.3911127460
UniRef90_A0A0K6BQY7|unclassified	47.3911127460
UniRef90_D4VKR6	47.3907810076
UniRef90_D4VKR6|unclassified	47.3907810076
UniRef90_A0A174C798	47.3597896936
UniRef90_A0A174C798|unclassified	47.3597896936
UniRef90_R6KBI0	47.3190577535
UniRef90_R6KBI0|unclassified	47.3190577535
UniRef90_A0A078Q447	47.2894310914
UniRef90_A0A078Q447|unclassified	47.2894310914
UniRef90_Q8A1G0	47.2227307045
UniRef90_Q8A1G0|unclassified	47.2227307045
UniRef90_K5DBE6	47.2137978731
UniRef90_K5DBE6|unclassified	47.2137978731
UniRef90_A0A1G6G6U1	47.2085018545
UniRef90_A0A1G6G6U1|unclassified	47.2085018545
UniRef90_Q8A469	47.1573816171
UniRef90_Q8A469|unclassified	47.1573816171
UniRef90_R5B0U0	47.0796058677
UniRef90_R5B0U0|unclassified	47.0796058677
